,player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
820,Isaiah Thomas,thomais02,2022,RS,DAL,26,13,-5.500008460604044,-4.465504417295388,-9.965512877899432,-22.72545887889086,19.61227468229746,-3.113184196593398,-9.454000961527427,0.2601443823985226,-9.193856579128903,-0.0409056184246153,-0.0409056184246153,0.0,-7.924195672318365,-1.626243566908954,-9.55043923922732,-4.291010355091097
821,Isaiah Thomas,thomais02,2022,RS,LAL,229,101,-5.49256545277916,-2.244251730052267,-7.736817182831427,-6.402588961371778,2.707604414020095,-3.694984547351683,-5.97803433025077,-1.297793141662637,-7.275827471913408,-0.2354749793262681,-0.2354749793262681,0.0,-3.939204415227489,-2.660477799165881,-6.59968221439337,0.9683047722886722
822,Isaiah Thomas,thomais02,2022,RS,CHA,452,219,3.218814538732685,-2.071040005110305,1.14777453362238,1.200059066009486,-0.8033551766807638,0.3967038893287222,2.948385805836161,-1.939254356641181,1.00913144919498,0.4181419443700458,0.4181419443700458,0.0,3.873124768896465,-2.60739670505208,1.265728063844385,-0.4476315359527255
823,Matt Thomas,thomama02,2022,RS,CHI,966,459,-0.964767686420704,0.2043891969680294,-0.7603784894526746,-1.088969053449905,0.9158916915565858,-0.1730773618933197,-1.043461643208775,0.3892432117921714,-0.6542184314166035,0.4864705415653549,0.4864705415653549,0.0,-1.270687860663802,-1.084013116702816,-2.354700977366618,-0.8809161385589903
824,Klay Thompson,thompkl01,2022,PO,GSW,1621,792,1.259300630551211,-1.474142283515711,-0.2148416529644999,-0.8867507997834605,-4.479675411271903,-5.366426211055364,0.8155872836361646,-2.264933802041192,-1.449346518405027,0.5410557856393449,0.0,0.5410557856393449,2.526267879396444,-1.567008201138115,0.9592596782583298,-0.1779888355976055
825,Klay Thompson,thompkl01,2022,RS,GSW,1990,941,1.17686650192216,-1.187404223718834,-0.0105377217966747,0.6020639147075402,-1.337071422038671,-0.7350075073311308,1.113765808843938,-1.332184145933695,-0.2184183370897572,1.219926426892209,1.219926426892209,0.0,1.845832377462053,-1.10020699087864,0.7456253865834137,0.3717893767003831
826,Tristan Thompson,thomptr01,2022,PO,CHI,84,38,-10.20172172021366,4.565141021249999,-5.636580698963665,-13.24072579375734,0.3178869050465967,-12.92283888871074,-11.29798441769541,3.904252108577367,-7.393732309118047,-0.093149955379525,0.0,-0.093149955379525,-13.20102998570392,1.183368894733937,-12.01766109096998,0.3097401903017156
827,Tristan Thompson,thomptr01,2022,RS,IND,132,66,-4.309575148052402,2.756600482403783,-1.552974665648619,-5.658087309452033,-0.6385377726307366,-6.29662508208277,-4.870273045559379,2.259834327515418,-2.610438718043961,0.0046399237808055,0.0046399237808055,0.0,-5.109936639369014,-0.9156014066355956,-6.02553804600461,-1.267224289359073
828,Tristan Thompson,thomptr01,2022,RS,SAC,955,455,-2.295785223102692,-1.142804480442711,-3.438589703545404,1.551734098953776,-3.142743411573892,-1.591009312620116,-1.60862678411999,-1.571453856242521,-3.180080640362511,-0.0992618221023906,-0.0992618221023906,0.0,-2.037986525786165,-2.104660540461445,-4.14264706624761,-0.5784737282350911
829,Tristan Thompson,thomptr01,2022,RS,CHI,773,376,0.4967191500350631,0.2037260413634978,0.700445191398561,3.559935689179621,-2.776123988013869,0.7838117011657522,1.178993044663908,-0.3641562326511701,0.8148368120127376,0.6791758709895337,0.6791758709895337,0.0,0.7710718802371769,-0.2923618796742986,0.4787100005628783,-0.6851458189137586
830,JT Thor,thorjt01,2022,RS,CHA,559,262,-2.483600919966406,-2.286037849630523,-4.769638769596929,-4.13569415926466,2.403340514029853,-1.732353645234807,-3.004718159455292,-1.411621534613065,-4.416339694068357,-0.2227818242395402,-0.2227818242395402,0.0,-2.321172201116979,-2.153877658414655,-4.475049859531634,0.0171494086231612
831,Matisse Thybulle,thybuma01,2022,PO,PHI,276,137,-1.815654237496955,4.270335057221969,2.454680819725014,-4.659546370711477,-6.75126207069221,-11.41080844140369,-2.557129574373615,2.200587599363311,-0.3565419750103032,0.1730519433007126,0.0,0.1730519433007126,-2.098671693271093,1.820679789135339,-0.2779919041357535,0.2868791972164804
832,Matisse Thybulle,thybuma01,2022,RS,PHI,3416,1685,-2.105761631769382,4.229382722988698,2.123621091219316,-1.788255055405438,2.719765180910313,0.9315101255048746,-2.188479724247959,4.153223251969309,1.96474352772135,4.05113280869807,4.05113280869807,0.0,-1.846455482170632,5.104977731646327,3.258522249475694,-0.0510946403549919
833,Killian Tillie,tilliki02,2022,RS,MEM,957,461,-3.443125568530411,0.322675440149394,-3.120450128381017,-1.7090162796256,2.95167495472275,1.24265867509715,-3.335430739082482,0.839692757235472,-2.49573798184701,0.0599661660992928,0.0599661660992928,0.0,-3.037735150340566,1.175182949528514,-1.862552200812052,0.2728705506297194
834,Xavier Tillman,tillmxa01,2022,PO,MEM,304,139,-3.772202691102377,4.137104096320668,0.3649014052182911,-5.905804360146931,-6.710401728350561,-12.61620608849749,-4.483980876408946,2.037830724778942,-2.446150151630004,0.022353388666593,0.0,0.022353388666593,-5.025440413466889,2.489734367255877,-2.535706046211012,0.5656386449231297
835,Xavier Tillman,tillmxa01,2022,RS,MEM,1472,701,-1.904534008037778,3.53362651257714,1.629092504539363,-3.897476995284628,1.147868341017869,-2.749608654266758,-2.47914754691751,3.210678393835831,0.7315308469183215,1.23984451898505,1.23984451898505,0.0,-1.463702957887622,2.979689655568392,1.515986697680769,-0.4277196465351631
836,Isaiah Todd,toddis01,2022,RS,WAS,154,74,-6.821177541859455,-1.25165997928129,-8.072837521140745,-14.68242183012493,4.148845821500522,-10.53357600862441,-8.83768212932218,-0.1464042126934136,-8.984086342015594,-0.2376930842707935,-0.2376930842707935,0.0,-6.617783371426531,-1.79828010225265,-8.41606347367918,0.9884440712629676
837,Obi Toppin,toppiob01,2022,RS,NYK,2498,1230,-1.178208581596308,-1.072911621855039,-2.251120203451347,2.105870678726346,3.234068494075426,5.339939172801771,-0.543636298053415,-0.2543742890553086,-0.7980105871087235,1.221653643389698,1.221653643389698,0.0,-0.3014753793210938,-1.590574742286051,-1.892050121607145,-0.2701795328534243
